THEFT_ID,ART_DES_FAHRRADS,SCHADENSHOEHE,TATZEIT_ANFANG_DATUM,TATZEIT_ANFANG_STUNDE,TATZEIT_ENDE_DATUM,TATZEIT_ENDE_STUNDE,LOR
1,Damenfahrrad,926,11.05.2023,17,12.05.2023,8,2200211
2,Herrenfahrrad,1175,08.06.2023,19,08.06.2023,19,11300620
3,Herrenfahrrad,1882,06.06.2023,17,07.06.2023,7,2500835
4,Herrenfahrrad,1047,08.06.2023,11,09.06.2023,7,9200511
5,Mountainbike,170,16.04.2023,9,16.04.2023,9,7400720
6,Herrenfahrrad,849,08.06.2023,23,09.06.2023,9,8100206
7,Herrenfahrrad,850,05.06.2023,19,06.06.2023,8,1400942
8,Kinderfahrrad,551,08.06.2023,1,08.06.2023,6,8200833
9,Damenfahrrad,333,25.05.2023,12,27.05.2023,17,6100102
10,Damenfahrrad,469,09.06.2023,6,09.06.2023,15,1400938
11,Herrenfahrrad,388,08.06.2023,13,08.06.2023,15,11100307
12,Damenfahrrad,928,09.06.2023,6,09.06.2023,14,11200514
13,Damenfahrrad,890,08.06.2023,19,09.06.2023,7,4300623
14,Fahrrad,100,07.06.2023,15,07.06.2023,15,7100102
15,Damenfahrrad,2200,07.06.2023,12,09.06.2023,10,2200207
16,Mountainbike,456,08.06.2023,14,08.06.2023,14,8100209
17,Herrenfahrrad,1800,06.06.2023,17,06.06.2023,19,1100308
18,Damenfahrrad,572,07.06.2023,17,07.06.2023,17,5100316
19,Herrenfahrrad,350,08.06.2023,22,09.06.2023,12,4501041
20,Herrenfahrrad,700,07.06.2023,13,08.06.2023,18,4300624
21,Damenfahrrad,4518,07.06.2023,12,09.06.2023,9,3400721
22,Herrenfahrrad,1450,07.06.2023,16,09.06.2023,10,4500936
23,Herrenfahrrad,699,08.06.2023,19,08.06.2023,23,2200207
24,Damenfahrrad,890,08.06.2023,12,09.06.2023,12,8100418
25,Damenfahrrad,649,08.06.2023,21,09.06.2023,7,9200715
26,Rennrad,1500,08.06.2023,20,09.06.2023,9,11200411
27,Herrenfahrrad,599,08.06.2023,7,09.06.2023,8,3300412
28,Fahrrad,999,09.06.2023,7,09.06.2023,10,12100102
29,Fahrrad,3510,08.06.2023,18,09.06.2023,16,1300836
30,Herrenfahrrad,4083,09.06.2023,16,09.06.2023,16,1401043
31,Herrenfahrrad,3100,09.06.2023,10,09.06.2023,11,8100314
