PLR_ID,PLR_NAME,GROESSE_M2,BEZ
11501341,Karlshorst Süd,2294021.723,11,
7601340,Tirschenreuther Ring Ost,413969.326,7,
2500831,Wismarplatz,248988.291,2,
12601134,Märkisches Zentrum,1127855.841,12,
7601547,Horstwalder Straße,941433.954,7,
8301036,Gropiusstadt Mitte,695018.485,8,
5200421,Spandauer Straße,720067.571,5,
5200418,Isenburger Weg,1284627.903,5,
11501238,Rummelsburg,2401515.387,11,
7200412,Schöneberger Linse,231294.249,7,
7100103,Frobenstraße,342043.539,7,
3400618,Rosenthal,1798385.975,3,
10200526,Boulevard Kastanienallee,526608.425,10,
7300516,Odenwaldstraße,458716.636,7,
10100205,Gewerbegebiet Bitterfelder Straße,3601314.587,10,
2300315,Lausitzer Platz,350907.658,2,
7601548,Wittelsbacherstraße,968261.882,7,
10100314,Auersbergstraße,470905.654,10,
7601443,Töpchiner Weg,1986689.085,7,
3601245,Ostseestraße,966047.252,3,
2500832,Traveplatz,369567.495,2,
10200630,Cecilienplatz,377288.218,10,
2100104,Moritzplatz,380547.712,2,
3701554,Teutoburger Platz,548486.697,3,
3500933,Weißer See,1055229.992,3,
7100204,Barbarossaplatz,515151.482,7,
5200420,Staakener Straße,2627506.883,5,
8100312,Weichselplatz,515944.623,8,
10100103,Wittenberger Straße,686657.51,10,
3601451,Anton-Saefkow-Park,546889.645,3,
6400736,Düppel,3130515.711,6,
1400937,Afrikanische Straße,3674225.411,1,
7601339,Tirschenreuther Ring West,453765.631,7,
6300632,Schweizer Viertel,3085882.409,6,
7601545,Nahariyastraße,900458.165,7,
5100103,Mertensstraße,719119.684,5,
8100314,Donaustraße,255918.243,8,
5200526,Rudolf-Wissell-Großsiedlung,379178.642,5,
4500938,Hochmeisterplatz,517757.943,4,
7400826,Marienhöhe,1169632.724,7,
9501939,Bahnhofstraße,1142557.213,9,
6100208,Bergstraße,620619.175,6,
3200206,Pastor-Niemöller-Platz,1104544.755,3,
3601452,Velodrom,552164.165,3,
11200513,Große-Leege-Straße,688243.681,11,
5100104,Maselake,559348.325,5,
12601235,Dannenwalder Weg,523435.195,12,
3400725,Schlosspark,1259152.298,3,
4300416,Amtsgerichtsplatz,580690.467,4,
4501148,Brabanter Platz,420097.518,4,
8401244,Waßmannsdorfer Chaussee,2776814.494,8,
9301024,Falkenberg,1148564.176,9,
6400843,Thielallee,2111239.52,6,
12200412,Waldidyll/Flughafensee,5947881.881,12,
12200515,Alt-Tegel,2392477.977,12,
7501135,Birnhornweg,555575.417,7,
1100103,Lützowstraße,522279.456,1,
8200725,Mohriner Allee Nord,1629928.914,8,
3701658,Christburger Straße,232827.898,3,
5100312,Eckschanze,332709.609,5,
3601449,Michelangelostraße,858322.778,3,
4501151,Hildegardstraße,323678.704,4,
11400928,Nöldnerplatz,584236.747,11,
12200411,Schumacher-Quartier,670383.746,12,
5300840,Nonnendammallee,3274832.767,5,
1300835,Humboldthain Süd,1103870.067,1,
1401044,Uferstraße,491567.116,1,
4300621,Richard-Wagner-Straße,550733.771,4,
4300620,Spreestadt,715515.505,4,
1200520,Bremer Straße,429956.469,1,
12500929,Lübars,5011409.636,12,
8200831,Buckow West,1457762.154,8,
9200818,Spindlersfeld,571610.581,9,
6300528,Teltower Damm,3119460.994,6,
10100102,Rosenbecker Straße,327912.668,10,
6300631,Goerzwerke,1783623.157,6,
4300622,Ernst-Reuter-Platz,959925.982,4,
1401046,Nordufer,325057.192,1,
11100102,Dorf Falkenberg,3056834.492,11,
3300516,Heinersdorf,3906794.569,3,
5200527,Maulbeerallee,1311825.745,5,
6100209,Feuerbachstraße,633835.16,6,
11100205,Wartenberg Süd,455958.935,11,
12601133,Treuenbrietzener Straße,918330.963,12,
10200423,Böhlener Straße,920800.163,10,
4501044,Ludwigkirchplatz,314917.324,4,
6400840,Fischtal,1385393.678,6,
4200311,Königin-Elisabeth-Straße,1555799.524,4,
12100102,Hausotterplatz,809947.517,12,
10400836,Alt-Kaulsdorf,1349164.897,10,
5200419,Am Heideberg,422278.199,5,
6100101,Fichtenberg,989969.522,6,
5200630,Wilhelmstadt West,909110.427,5,
7400825,Friedrich-Karl-Straße,418519.804,7,
10200525,Schleipfuhl,475941.269,10,
11300725,Nibelungenviertel,683420.436,11,
11100307,Zingster Straße Ost,730342.961,11,
12200308,Mellerbogen,527624.818,12,
6200421,Königsberger Straße,2035750.444,6,
1400938,Kameruner Straße,1196145.083,1,
3500934,Weißenseer Spitze,627288.067,3,
6400735,Wannsee,23734915.62,6,
9200717,Dörpfeldstraße Ost,2545920.748,9,
6400844,Dahlem,3308713.464,6,
6300634,Lichterfelde West,1584125.667,6,
2500726,Hausburgviertel,309446.042,2,
12601032,Rollbergesiedlung,501318.326,12,
5100315,Ackerstraße,489147.655,5,
12400722,Hermsdorf West,3158178.624,12,
8300934,Gropiusstadt Nord-West,847613.011,8,
5100208,Im Spektefeld,1765403.951,5,
5100207,An der Tränke,592567.445,5,
2500835,Stralauer Kiez,1355160.809,2,
5200528,Weinmeisterhornweg,2738260.541,5,
4400832,Breite Straße,667156.415,4,
12400619,Heiligensee,17920879.74,12,
1401047,Sparrplatz,309196.444,1,
11200512,Orankesee,1936946.851,11,
3601243,Rodenbergstraße,329695.603,3,
10400835,Kaulsdorf Nord,2552486.331,10,
5100313,Eiswerder,1665431.865,5,
9301228,Schmöckwitz/Rauchfangswerder,14762928.79,9,
9300921,Preußen Siedlung,1462066.002,9,
10100316,Landsberger Tor,1608741.423,10,
11401032,Rosenfelder Ring,567616.948,11,
5100317,Freiheit,2278703.952,5,
6200315,Gallwitzallee,1175516.56,6,
4400833,Schlangenbader Straße,353209.3,4,
9501838,Rahnsdorf,21450568.86,9,
3601244,Humannplatz,364157.931,3,
12400720,Frohnau West,2749772.919,12,
11501340,Karlshorst Nord,3297882.93,11,
7200414,Hohenfriedbergstraße,263433.439,7,
7200410,Feurigstraße,250440.158,7,
9301126,Grünau,9172773.623,9,
4501152,Prager Platz,349862.501,4,
9401329,Kietzer Feld/Nachtheide,17024906.11,9,
1100312,Heine-Viertel West,643611.114,1,
1200522,Elberfelder Straße,639455.329,1,
3200207,Herthaplatz,3080810.743,3,
5200629,Borkumer Straße,1325562.762,5,
7601237,Kirchstraße,1235685.18,7,
3601139,Norweger Viertel,454220.488,3,
11100309,Mühlengrund,706043.781,11,
8100416,Alt-Rixdorf,334331.154,8,
11200410,Malchower Weg,2232954.788,11,
3300517,Märchenland,5824513.255,3,
3100101,Bucher Forst,18377139.16,3,
7200308,Volkspark (Rudolph-Wilde-Park),626736.619,7,
8200833,Buckow Ost,1106975.388,8,
7400823,Wittekindstraße,805339.77,7,
7501134,Hundsteinweg,2253576.277,7,
9401433,Allende II,1991483.596,9,
10400837,Kaulsdorf Süd,4869630.053,10,
5100101,Hakenfelde Nord,16168772.69,5,
8401139,Vogelviertel Süd,826760.904,8,
3400829,Arnold-Zweig-Straße,400602.607,3,
4200310,Fürstenplatz,931601.723,4,
11400929,Weitlingkiez,842257.177,11,
10200629,Teterower Ring,999271.16,10,
12100204,Schäfersee,1115696.482,12,
5100211,An der Kappe,1402781.386,5,
6200314,Kaiser-Wilhelm-Straße,733778.237,6,
4200203,Olympiagelände,3264399.304,4,
9401534,Altstadt Köpenick,796813.695,9,
7200409,Belziger Straße,530585.274,7,
5400943,Jägerallee,7331950.637,5,
4200206,Kranzallee,1485544.478,4,
10100209,Lea-Grundig-Straße,678233.409,10,
4300518,Kaiserin-Augusta-Allee,1376628.447,4,
11200411,Hauptstraße,2521336.77,11,
1300732,Soldiner Straße,588074.499,1,
7501030,Machonstraße,597111.725,7,
4400830,Forckenbeckstraße,1494597.349,4,
1200521,Zwinglistraße,166605.497,1,
10200422,Hellersdorfer Promenade,451809.839,10,
10400938,Mahlsdorf Nord,4221795.938,10,
8100209,Glasower Straße,589231.716,8,
3300412,Karow Bahnhof,3078323.869,3,
3501038,Hansastraße,1964376.981,3,
1100207,Leipziger Straße,763637.109,1,
8100415,Ganghoferstraße,255372.799,8,
3200308,Nisbléstraße,1134312.492,3,
1401049,Schulstraße,404127.565,1,
4400727,Flinsberger Platz,914954.621,4,
10100315,Bärenstein,646662.812,10,
1100104,Körnerstraße,338448.206,1,
4200308,Branitzer Platz,2755118.531,4,
12400723,Hermsdorf Ost/Waldsee,2900145.924,12,
6100210,Bismarckstraße,235553.321,6,
6400838,Krumme Lanke,6419213.143,6,
7601442,Kettinger Straße,2348208.895,7,
3601348,Senefelderstraße,219922.187,3,
8100104,Wartheplatz,551184.763,8,
3601450,Volkspark Prenzlauer Berg,1212024.847,3,
8401242,Zittauer Straße,1922467.513,8,
9100407,Johannisthal West,3247194.597,9,
10100101,Marzahn West,695705.423,10,
3300411,Karow Nord,1667533.255,3,
1401045,Schwedenstraße,267815.116,1,
7400720,Gontermannstraße,1184451.286,7,
5200631,Wilhelmstadt Ost,542130.664,5,
4100102,Paul-Hertz-Siedlung,537861.96,4,
12500926,Wittenau Süd,947518.401,12,
10200417,Zossener Straße,450569.895,10,
3400722,Parkstraße,509691.612,3,
11300721,Herzbergstraße,3863010.076,11,
11200514,Landsberger Allee,940051.993,11,
1400942,Westliche Müllerstraße,531507.23,1,
5200525,Pillnitzer Weg,1475113.049,5,
8401140,Vogelviertel Nord,440889.762,8,
9501941,Friedrichshagener Straße,1045838.719,9,
7601546,Franziusweg,1774343.845,7,
2300316,Köpenicker Straße,471422.054,2,
10300734,Biesdorf Süd,5205206.423,10,
7100206,Großgörschenstraße,534755.476,7,
1200518,Beusselkiez,236849.437,1,
12200414,TXL,5987642.938,12,
4400831,Messelpark,544703.358,4,
6300526,Zehlendorf Mitte,905343.286,6,
9200819,Köllnische Vorstadt,1551715.709,9,
4501150,Wilhelmsaue,294733.282,4,
6100206,Stadtpark,710869.319,6,
8100311,Reuterplatz,259579.578,8,
